specimen,bone,sex,age,side_of_body,plane_of_picture,orientation,picture_number
Arctocephalus pusillus_1,rib,-,-,-,coronal,-,500130
Arctocephalus pusillus_1,rib,-,-,-,coronal,-,634983
Arctocephalus pusillus_1,mandible,-,-,left,midsagittal,interior,245385
Arctocephalus pusillus_1,mandible,-,-,left,midsagittal,exterior,929642
Arctocephalus pusillus_1,vertebrae,-,-,-,coronal,anterior,956598
Arctocephalus pusillus_1,vertebrae,-,-,-,coronal,posterior,770727
Arctocephalus pusillus_2,phalange (2),-,-,-,transverse,dorsal & ventral,855953
Arctocephalus pusillus_2,phalange (2),-,-,-,midsagittal,sides,263833
Arctocephalus pusillus_3_box,skull,female,adult,-,transverse,dorsal,370173
Arctocephalus pusillus_3_box,skull,female,adult,-,transverse,ventral,673815
Arctocephalus pusillus_3_box,lower jaw,female,adult,-,transverse,dorsal,626101
Arctocephalus pusillus_3_box,mandible,female,adult,right,midsagittal,interior,534070
Arctocephalus pusillus_3_box,mandible,female,adult,right,midsagittal,exterior,605601
Arctocephalus pusillus_3_box,pelvis,female,-,right,midsagittal,exterior,921555
Arctocephalus pusillus_3_box,pelvis,female,-,right,midsagittal,interior,409438
Arctocephalus pusillus_3_box,vertebrae (3),female,-,-,midsagittal,-,618010
Arctocephalus pusillus_3_box,vertebrae (3),female,-,-,midsagittal,-,424688
Arctocephalus pusillus_3_box,femur,female,-,left,transverse,ventral,583030
Arctocephalus pusillus_3_box,femur,female,-,left,transverse,dorsal,142949
Arctocephalus pusillus_3_box,"vertebrae (lumbar,caudal)",female,-,-,coronal,anterior,301247
Arctocephalus pusillus_3_box,"vertebrae (lumbar,caudal)",female,-,-,coronal,posterior,824756
Arctocephalus pusillus_3_box,"vertebrae (lumbar,caudal)",female,-,-,midsagittal,left,408731
Arctocephalus pusillus_3_box,"vertebrae (lumbar,caudal)",female,-,-,midsagittal,right,503832
Arctocephalus pusillus_3_box,"vertebrae (lumbar,caudal)",female,-,-,transverse,ventral,234945
Arctocephalus pusillus_3_box,"vertebrae (thoracical, 2)",female,adult,-,sagittal,right,546769
Arctocephalus pusillus_3_box,"vertebrae (thoracical, 2)",female,adult,-,sagittal,left,882454
Arctocephalus pusillus_3_box,atlas,female,adult,-,transverse,dorsal,725040
Arctocephalus pusillus_3_box,atlas,female,adult,-,transverse,ventral,631696
Arctocephalus pusillus_3_box,skull,male,-,-,transverse,dorsal,369240
Arctocephalus pusillus_3_box,skull,male,-,-,transverse,ventral,771188
Arctocephalus pusillus_3_box,humerus,male,adult,right,transverse,dorsal,443596
Arctocephalus pusillus_3_box,humerus,male,adult,right,transverse,ventral,320793
Arctocephalus pusillus_3_box,humerus,male,adult,right,coronal,anterior,539670
Arctocephalus pusillus_3_box,rib,-,-,-,coronal,-,248879
Arctocephalus pusillus_3_box,tibia fibula,-,-,right,midsagittal,exterior,953109
Arctocephalus pusillus_3_box,tibia fibula,-,-,right,midsagittal,interior,857426
Arctocephalus pusillus_3_box,humerus,male,-,right,transverse,dorsal,395808
Arctocephalus pusillus_3_box,humerus,male,-,right,transverse,ventral,789527
Arctocephalus pusillus_3_box,humerus,male,-,right,coronal,anterior,843797
Arctocephalus pusillus_3_box,humerus,male,-,right,coronal,anterior,472356
Arctocephalus pusillus_3_box,ulna,male,adult,right,transverse,dorsal,141163
Arctocephalus pusillus_3_box,ulna,male,adult,right,transverse,ventral,737279
Arctocephalus pusillus_3_box,femur,female,adult,left,transverse,ventral,702086
Arctocephalus pusillus_3_box,femur,female,adult,left,transverse,dorsal,890648
Arctocephalus pusillus_3_box,scapula,male,adult,left,transverse,dorsal,899587
Arctocephalus pusillus_3_box,scapula,male,adult,left,transverse,ventral,367870
Arctocephalus pusillus_3_box,femur,male,-,left,transverse,dorsal,793083
Arctocephalus pusillus_3_box,femur,male,-,left,transverse,ventral,425562
