"specimen","picture_number","link_path"
"H. grypus_4-3",1906,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1906.JPG"
"H. grypus_4-3",1904,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1904.JPG"
"H. grypus_4-4",1908,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1908.JPG"
"H. grypus_4-4",1907,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1907.JPG"
"H. grypus_4-4",1909,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1909.JPG"
"H. grypus_4-4",1910,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1910.JPG"
"H. grypus_4-4",1913,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1913.JPG"
"H. grypus_4-4",1911,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1911.JPG"
"H. grypus_4-4",1912,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1912.JPG"
"H. grypus_4-4",1916,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1916.JPG"
"H. grypus_4-4",1914,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1914.JPG"
"H. grypus_4-4",1915,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1915.JPG"
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
"H. grypus_5",1918,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_5\IMG_1918.JPG"
"H. grypus_5",1919,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_5\IMG_1919.JPG"
"H. grypus_5",1920,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_5\IMG_1920.JPG"
"H. grypus_5",1921,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_5\IMG_1921.JPG"
"H. grypus_5",1922,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_5\IMG_1922.JPG"
"H. grypus_5",1923,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_5\IMG_1923.JPG"
"H. grypus_5",1924,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_5\IMG_1924.JPG"
"H. grypus_5",1925,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_5\IMG_1925.JPG"
"H. grypus_5",1928,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_5\IMG_1928.JPG"
"H. grypus_5",1926,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_5\IMG_1926.JPG"
"H. grypus_5",1927,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_5\IMG_1927.JPG"
"Odobenus sp.",1952,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\Odobenus sp\IMG_1952.JPG"
"Odobenus sp.",1951,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\Odobenus sp\IMG_1951.JPG"
"Odobenus sp.",1949,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\Odobenus sp\IMG_1949.JPG"
"Odobenus sp.",1947,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\Odobenus sp\IMG_1947.JPG"
"Odobenus sp.",1950,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\Odobenus sp\IMG_1950.JPG"
"Odobenus sp.",1948,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\Odobenus sp\IMG_1948.JPG"
"P. vitulina_1",1765,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1765.JPG"
"P. vitulina_1",1766,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1766.JPG"
"P. vitulina_1",1767,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1767.JPG"
"P. vitulina_1",1768,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1768.JPG"
"P. vitulina_1",1769,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1769.JPG"
"P. vitulina_1",1770,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1770.JPG"
"P. vitulina_1",1772,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1772.JPG"
"P. vitulina_1",1771,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1771.JPG"
"P. vitulina_1",1773,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1773.JPG"
"P. vitulina_1",1774,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1774.JPG"
"P. vitulina_1",1776,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1776.JPG"
"P. vitulina_1",1778,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1778.JPG"
"P. vitulina_1",1779,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1779.JPG"
"P. vitulina_1",1780,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1780.JPG"
"P. vitulina_1",1784,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1784.JPG"
"P. vitulina_1",1785,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1785.JPG"
"P. vitulina_1",1781,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1781.JPG"
"P. vitulina_1",1783,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1783.JPG"
"P. vitulina_1",1782,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_1\IMG_1782.JPG"
"P. vitulina_2",1932,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_2\IMG_1932.JPG"
"P. vitulina_2",1931,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_2\IMG_1931.JPG"
"P. vitulina_3-1",1934,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_3\IMG_1934.JPG"
"P. vitulina_3-1",1935,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_3\IMG_1935.JPG"
"P. vitulina_3-2",1941,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_3\IMG_1941.JPG"
"P. vitulina_3-2",1940,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_3\IMG_1940.JPG"
"P. vitulina_3-3",1945,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_3\IMG_1945.JPG"
"P. vitulina_3-3",1944,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\P. vitulina_3\IMG_1944.JPG"
"Z. californianus",1842,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\Z. califorianus\IMG_1842.JPG"
"Z. californianus",1843,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\Z. califorianus\IMG_1843.JPG"
"Z. californianus",1844,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\Z. califorianus\IMG_1844.JPG"
"Z. californianus",1845,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\Z. califorianus\IMG_1845.JPG"
"Z. californianus",1846,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\Z. califorianus\IMG_1846.JPG"
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
